Row Labels,Sum of inst_num,Sum of time,Sum of plan_cpu,Average of plan_cpu,Sum of plan_mem,Average of plan_mem
J11_2_5_7_9_10,326,613,100,50,0.78,0.39
J11_2_5_8_10,106,52,100,100,0.59,0.59
J11_2_6_10,30,356,100,50,0.59,0.295
J11_2_7_10,285,4112,50,50,0.39,0.39
J11_2_8_10,32,57,150,75,0.79,0.395
J11_2_9_10,402,94,150,75,0.89,0.445
J11_21,1111,232,100,100,0.59,0.59
J11_3_10,2793,1379,1300,86.66666667,7.47,0.498
J11_3_4_10,287,133,200,100,0.98,0.49
J11_3_4_5_10,7,24,100,100,0.59,0.59
J11_3_4_5_6_10,2,692,100,50,0.6,0.3
J11_3_4_5_6_7_10,31,15,100,100,0.49,0.49
J11_3_4_6_7_9_10,526,429,350,87.5,1.67,0.4175
J11_3_5_6_10,2032,449,250,62.5,1.66,0.415
J11_3_5_6_7_10,170,66,1000,100,5.9,0.59
J11_3_5_8_9_10,5,54,50,50,0.3,0.3
J11_3_6_8_9_10,34,9,200,100,1.18,0.59
J11_3_6_9_10,1,323,50,50,0.2,0.2
J11_3_7_8_9_10,231,121,50,50,0.2,0.2
J11_3_8_10,162,734,100,50,0.78,0.39
J11_3_9_10,1199,1313,1250,96.15384615,6.78,0.521538462
J11_4_10,59,314,700,100,4.13,0.59
J11_4_6_10,5,345,50,50,0.2,0.2
J11_4_6_7_8_9_10,1156,2918,200,50,2.36,0.59
J11_4_7_10,6,145,100,50,0.4,0.2
J11_4_9_10_12,265,381,50,50,0.39,0.39
J11_5_10,930,2043,1800,90,10.62,0.531
J11_5_6_10,129,486,450,90,2.75,0.55
J11_5_6_7_8_10,322,169,100,50,0.89,0.445
J11_5_6_7_8_9_10,1,39,50,50,0.2,0.2
J11_5_7_10,2,174,100,50,0.69,0.345
J11_5_9,5,117,100,100,0.49,0.49
J11_6,1,1230,50,50,0.2,0.2
J11_6_10,178,2129,300,75,1.68,0.42
J11_6_7_10,51,311,150,50,0.7,0.233333333
J11_6_7_8_10,308,735,700,50,2.99,0.213571429
J11_6_7_8_9_10,49,3,100,100,0.59,0.59
J11_6_8_10,29,472,250,50,1,0.2
J11_6_9_10,189,708,250,50,1.38,0.276
J11_7_10,261,1394,1450,63.04347826,6.93,0.301304348
J11_7_8_10,244,1043,250,62.5,1.57,0.3925
J11_7_8_9_10,4,6,200,50,0.8,0.2
J11_7_8_9_10_19,1,6,50,50,0.2,0.2
J11_7_9_10,3224,1459,1850,97.36842105,10.82,0.569473684
J11_8_10,2210,5999,1450,55.76923077,7.8,0.3
J11_8_9_10,76,139,800,80,5.06,0.506
J11_9,139,109,50,50,0.39,0.39
J11_9_10,4014,8495,5050,82.78688525,29.81,0.488688525
J11_9_10_51,6,7,200,100,1.18,0.59
J110_7_109,1,25,100,100,0.59,0.59
J114_7_113,1,23,100,100,0.59,0.59
J118_7_117,1,19,100,100,0.59,0.59
J12_1,5,157,50,50,0.2,0.2
J12_1_11,312,1654,700,58.33333333,3.36,0.28
J12_1_2,13,77,100,100,0.49,0.49
J12_1_2_3_4_5_6_11,28,39,200,100,0.98,0.49
J12_1_2_3_4_5_6_7_11,15,9,300,60,1.29,0.258
J12_1_2_3_4_7_8_9_10_11,1,421,50,50,0.2,0.2
J12_1_2_8_11,34,86,200,100,1.18,0.59
J12_1_3_11,2,228,100,50,0.6,0.3
J12_1_3_5_7_9_11,14,2,200,100,0.98,0.49
J12_1_5_11,28,1030,950,59.375,4.07,0.254375
J12_1_6_10_11,13,14,100,100,0.59,0.59
J12_1_7_11,70,86,150,75,0.88,0.44
J12_1_7_8_11,21,51,100,100,0.59,0.59
J12_10_11,1101,1720,2950,75.64102564,16.78,0.43025641
J12_11,2,480,100,50,0.4,0.2
J12_11_13,572,232,150,75,0.98,0.49
J12_11_15,51,438,350,70,1.73,0.346
J12_11_16,1,6,100,100,0.59,0.59
J12_11_17,7813,9962,900,81.81818182,5.69,0.517272727
J12_11_19,3,268,100,100,0.59,0.59
J12_11_23,72,28,200,100,1.18,0.59
J12_13,3,51,150,50,0.6,0.2
J12_2_10_11,1,54,50,50,0.2,0.2
J12_2_11,6990,8034,1450,80.55555556,8.71,0.483888889
J12_2_3_11,1,99,50,50,0.2,0.2
J12_2_3_4_10_11,5,214,50,50,0.3,0.3
J12_2_3_4_5_11,371,32,100,100,0.49,0.49
J12_2_3_5_6_8_10_11,3,433,300,100,1.47,0.49
J12_2_3_5_6_8_11,1,38,50,50,0.2,0.2
J12_2_3_6_10_11,526,19,200,100,0.98,0.49
J12_2_4_10_11,17,7,100,100,0.59,0.59
J12_2_4_5_7_10_11,9,37,100,100,0.49,0.49
J12_2_4_6_10_11,1,38,50,50,0.2,0.2
J12_2_4_6_11,2,53,150,75,0.79,0.395
J12_2_4_6_7_8_10_11,9,18,100,100,0.59,0.59
J12_2_4_6_7_8_11,55,55,500,100,2.95,0.59
J12_2_4_6_7_9_10_11,122,373,100,50,0.59,0.295
J12_2_4_6_8_10_11,724,104,400,100,1.96,0.49
J12_2_4_6_8_11,121,66,100,100,0.49,0.49
J12_2_5_10_11,1111,251,100,100,0.69,0.69
J12_2_5_6_8_9_11,49,75,250,83.33333333,1.38,0.46
J12_2_5_7_10_11,10,7,200,100,0.98,0.49
J12_2_5_8_11,4,703,200,50,0.8,0.2
J12_2_6_7_8_9_10_11,141,111,100,100,0.59,0.59
J12_2_7_8_11,43,33,100,100,0.59,0.59
J12_2_8_9_11,4,1616,200,50,1.58,0.395
J12_3_10_11,16,1721,650,54.16666667,3.49,0.290833333
J12_3_11,160,114,600,100,4.74,0.79
J12_3_4_11,128,105,600,100,3.54,0.59
J12_3_4_5_10_11,9,178,300,100,1.77,0.59
J12_3_4_5_6,2,663,100,50,0.5,0.25
J12_3_5_6_11,9,61,50,50,0.39,0.39
J12_3_5_7_10_11,8,41,150,75,0.89,0.445
J12_3_5_7_11,21,13,100,100,0.59,0.59
J12_3_5_9_11_16_17,171,85,300,100,1.77,0.59
J12_3_6_11,1120,547,150,75,0.88,0.44
J12_3_6_7_9_11,5,10,100,100,0.49,0.49
J12_3_6_8_11,7,9,100,100,0.59,0.59
J12_3_8_10_11,9,29,100,100,0.59,0.59
J12_4_11,889,3429,2500,89.28571429,13.78,0.492142857
J12_4_5_11,14762,599,1450,90.625,7.54,0.47125
J12_4_5_6_11,9,14,100,100,0.59,0.59
J12_4_5_6_7_8_9_10_11,172,317,150,75,0.79,0.395
J12_4_6_11,12,44,200,50,0.8,0.2
J12_4_9,57,156,50,50,0.39,0.39
J12_4_9_10_11,7,28,100,100,0.59,0.59
J12_5_10_11,1111,1319,100,100,0.59,0.59
J12_5_11,196,616,350,70,1.98,0.396
J12_5_6_8,1,118,50,50,0.2,0.2
J12_5_7_8_11,137,130,100,100,0.59,0.59
J12_5_9_10_11,3,327,50,50,0.2,0.2
J12_6_10_11,649,2473,250,62.5,1.76,0.44
J12_6_11,566,905,1050,58.33333333,4.77,0.265
J12_6_7_11,7,227,50,50,0.3,0.3
J12_6_7_8_11,5,11,100,100,0.59,0.59
J12_6_8_9_11,121,85,1100,100,6.49,0.59
J12_6_9,3,104,100,100,0.49,0.49
J12_6_9_11,2222,554,200,100,0.98,0.49
J12_7_11,61,292,650,92.85714286,3.74,0.534285714
J12_7_9_11,117,14,100,100,0.59,0.59
J12_8_10_11,63,1043,50,50,0.39,0.39
J12_8_11,1134,1088,500,83.33333333,2.76,0.46
J12_8_34,3,30,100,100,0.59,0.59
J12_8_9_10_11,5,11,100,100,0.59,0.59
J12_8_9_11,98,59,200,100,1.18,0.59
J12_9_10_11,1195,841,500,71.42857143,3.14,0.448571429
J12_9_11,135,1722,700,53.84615385,3.67,0.282307692
J12_9_11_14,49,6,100,100,0.59,0.59
J122_7_121,1,21,100,100,0.59,0.59
J126_7_125,1,23,100,100,0.59,0.59
J13_1,5,158,50,50,0.2,0.2
J13_1_10_12,1,56,50,50,0.3,0.3
J13_1_12,1342,2820,500,71.42857143,3.04,0.434285714
J13_1_2,13,77,100,100,0.49,0.49
J13_1_2_12,3,446,200,66.66666667,0.89,0.296666667
J13_1_2_3_4_10_12,15,2,100,100,0.59,0.59
J13_1_2_3_4_12,3,296,50,50,0.3,0.3
J13_1_2_3_4_5_6_7_8_9_10_11_12,543,102,100,100,0.59,0.59
J13_1_2_3_4_5_6_7_8_9_10_12,1,11,50,50,0.2,0.2
J13_1_2_3_4_5_7_8_9_10_11_12,103,247,50,50,0.39,0.39
J13_1_3_12,143,100,1100,100,6.49,0.59
J13_1_3_4_5_7_8_9_11_12,95,1393,50,50,0.39,0.39
J13_1_3_6_7_8_9_10_11_12,971,574,50,50,0.39,0.39
J13_1_4_10_11_12,165,418,50,50,0.39,0.39
J13_1_4_5_6_7_10_11_12,251,46,300,100,1.77,0.59
J13_1_8_9_12,29,9,100,100,0.59,0.59
J13_10_11_12,286,936,450,75,2.56,0.426666667
J13_10_12,515,593,650,81.25,3.95,0.49375
J13_10_14_15,1,72,100,100,0.59,0.59
J13_11_12,14469,4401,3450,88.46153846,18.5,0.474358974
J13_12_15,5,235,150,50,0.6,0.2
J13_12_19,1,480,50,50,0.2,0.2
J13_12_43,62,13,100,100,0.59,0.59
J13_2_12,21,558,250,83.33333333,1.38,0.46
J13_2_3_12,1230,388,1000,100,5.9,0.59
J13_2_3_8_11_12,3,64,100,100,0.59,0.59
J13_2_3_8_12,1111,53,100,100,0.59,0.59
J13_2_4_11_12,91,33,50,50,0.39,0.39
J13_2_4_12,9,988,200,66.66666667,0.89,0.296666667
J13_2_4_6_12,1,1114,50,50,0.2,0.2
J13_2_4_6_7_8_9_10_11_12,231,244,50,50,0.39,0.39
J13_2_4_6_8_9_12,75,16,100,100,0.69,0.69
J13_2_4_7_12,11,5,100,100,0.49,0.49
J13_2_4_7_8_12,9,2,100,100,0.59,0.59
J13_2_5_7_12,6,52,100,50,0.5,0.25
J13_2_6_12,100,241,350,87.5,1.97,0.4925
J13_2_7_11_12,1124,26,200,100,1.18,0.59
J13_2_8_11_12,317,35,100,100,0.49,0.49
J13_2_8_9_12,5,297,100,100,0.49,0.49
J13_23_24,2,449,100,50,0.4,0.2
J13_3_10_12,7,8,100,100,0.49,0.49
J13_3_12,1,511,50,50,0.2,0.2
J13_3_4_12,1224,2076,550,91.66666667,3.15,0.525
J13_3_4_5_12,1,2764,50,50,0.2,0.2
J13_3_4_6_7_12,3,112,50,50,0.49,0.49
J13_3_5_12,556,103,100,100,0.59,0.59
J13_3_5_7_10_11_12,21,24,100,100,0.59,0.59
J13_3_5_7_12,1111,15,100,100,0.59,0.59
J13_3_5_7_8_9_11_12,144,257,1600,100,9.44,0.59
J13_3_6_12,21,11,100,100,0.59,0.59
J13_3_6_8_12,46,111,350,58.33333333,2.44,0.406666667
J13_3_6_9_11_12,443,339,50,50,0.49,0.49
J13_3_7_12,5,66,50,50,0.3,0.3
J13_3_7_9_11_12,1,57,50,50,0.39,0.39
J13_4_10_12,38,535,100,50,0.59,0.295
J13_4_12,333,1545,500,55.55555556,2.87,0.318888889
J13_4_5_6_12,1,1158,50,50,0.2,0.2
J13_4_5_6_7_8_9_10_11_12,255,103,50,50,0.39,0.39
J13_4_5_6_9_11_12,25,16,100,100,0.59,0.59
J13_4_6,28,601,100,50,1.08,0.54
J13_4_6_8_10_11_12,2,564,100,50,0.4,0.2
J13_4_8_12,1,103,50,50,0.2,0.2
J13_4_9_12,7,53,50,50,0.2,0.2
J13_5_10_12,1,1422,50,50,0.2,0.2
J13_5_12,179,2478,450,64.28571429,2.38,0.34
